2024-03-19 15:39:56 - 200 - {'Content-Type': 'text/html', 'Content-Length': 9763, 'X-Content-Type-Options': 'nosniff'}
2024-03-19 15:39:56 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5197, 'X-Content-Type-Options': 'nosniff'}
2024-03-19 15:39:56 - 200 - {'Content-Type': 'image/jpeg', 'Content-Length': 56540, 'X-Content-Type-Options': 'nosniff'}
2024-03-19 15:39:56 - 200 - {'Content-Type': 'image/jpeg', 'Content-Length': 90623, 'X-Content-Type-Options': 'nosniff'}
2024-03-19 15:39:56 - 200 - {'Content-Type': 'image/jpeg', 'Content-Length': 245213, 'X-Content-Type-Options': 'nosniff'}
2024-03-19 15:39:56 - 200 - {'Content-Type': 'text/javascript', 'Content-Length': 1549, 'X-Content-Type-Options': 'nosniff'}
2024-03-19 15:39:56 - 200 - {'Content-Type': 'image/jpeg', 'Content-Length': 37561, 'X-Content-Type-Options': 'nosniff'}
2024-03-19 15:39:56 - 200 - {'Content-Type': 'image/png', 'Content-Length': 82836, 'X-Content-Type-Options': 'nosniff'}
2024-03-19 15:39:56 - 200 - {'Content-Type': 'image/png', 'Content-Length': 10892, 'X-Content-Type-Options': 'nosniff'}
2024-03-19 15:39:56 - 200 - {'Content-Type': 'image/png', 'Content-Length': 25240, 'X-Content-Type-Options': 'nosniff'}
2024-03-19 15:39:56 - 200 - {'Content-Type': 'text/javascript', 'Content-Length': 7351, 'X-Content-Type-Options': 'nosniff'}
2024-03-19 15:39:57 - 200 - {'Content-Type': 'text/html', 'Content-Length': 2195, 'X-Content-Type-Options': 'nosniff'}
2024-03-19 15:39:58 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5197, 'X-Content-Type-Options': 'nosniff'}
2024-03-19 15:39:59 - 200 - {'Content-Type': 'text/html', 'Content-Length': 997, 'X-Content-Type-Options': 'nosniff'}
2024-03-19 15:39:59 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5197, 'X-Content-Type-Options': 'nosniff'}
2024-03-19 15:42:06 - 200 - {'Content-Type': 'text/html', 'Content-Length': 9763, 'X-Content-Type-Options': 'nosniff'} /MySchedule.html
2024-03-19 15:42:06 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5197, 'X-Content-Type-Options': 'nosniff'} /css/style.css
2024-03-19 15:42:06 - 200 - {'Content-Type': 'image/jpeg', 'Content-Length': 56540, 'X-Content-Type-Options': 'nosniff'} /img/rec.jpg
2024-03-19 15:42:06 - 200 - {'Content-Type': 'image/jpeg', 'Content-Length': 90623, 'X-Content-Type-Options': 'nosniff'} /img/anderson.jpg
2024-03-19 15:42:06 - 200 - {'Content-Type': 'text/javascript', 'Content-Length': 1549, 'X-Content-Type-Options': 'nosniff'} /js/thumbnail.js
2024-03-19 15:42:06 - 200 - {'Content-Type': 'image/jpeg', 'Content-Length': 245213, 'X-Content-Type-Options': 'nosniff'} /img/folwel.jpg
2024-03-19 15:42:06 - 200 - {'Content-Type': 'image/jpeg', 'Content-Length': 37561, 'X-Content-Type-Options': 'nosniff'} /img/zoom.jpg
2024-03-19 15:42:06 - 200 - {'Content-Type': 'image/png', 'Content-Length': 82836, 'X-Content-Type-Options': 'nosniff'} /img/gophers-mascot.png
2024-03-19 15:42:06 - 200 - {'Content-Type': 'image/png', 'Content-Length': 10892, 'X-Content-Type-Options': 'nosniff'} /img/search.png
2024-03-19 15:42:06 - 200 - {'Content-Type': 'image/png', 'Content-Length': 25240, 'X-Content-Type-Options': 'nosniff'} /img/direction.png
2024-03-19 15:42:06 - 200 - {'Content-Type': 'text/javascript', 'Content-Length': 7351, 'X-Content-Type-Options': 'nosniff'} /js/map.js
2024-03-19 15:42:06 - 200 - {'Content-Type': 'text/html', 'Content-Length': 2675, 'X-Content-Type-Options': 'nosniff'} /MyForm.html
2024-03-19 15:42:07 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5197, 'X-Content-Type-Options': 'nosniff'} /css/style.css
2024-03-19 15:42:07 - 200 - {'Content-Type': 'text/javascript', 'Content-Length': 2341, 'X-Content-Type-Options': 'nosniff'} /js/formMap.js
2024-03-19 15:42:07 - 200 - {'Content-Type': 'text/html', 'Content-Length': 2211, 'X-Content-Type-Options': 'nosniff'} /EventLog.html
2024-03-19 15:42:08 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5197, 'X-Content-Type-Options': 'nosniff'} /css/style.css
2024-03-19 15:42:08 - 200 - {'Content-Type': 'text/html', 'Content-Length': 2195, 'X-Content-Type-Options': 'nosniff'} /MyServer.html
2024-03-19 15:42:09 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5197, 'X-Content-Type-Options': 'nosniff'} /css/style.css
2024-03-19 15:42:09 - 200 - {'Content-Type': 'text/html', 'Content-Length': 997, 'X-Content-Type-Options': 'nosniff'} /files
2024-03-19 15:42:09 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5197, 'X-Content-Type-Options': 'nosniff'} /css/style.css
2024-03-19 15:57:58 - 200 - {'Content-Type': 'text/html', 'Content-Length': 2675, 'X-Content-Type-Options': 'nosniff'} /MyForm.html
2024-03-19 15:57:58 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5197, 'X-Content-Type-Options': 'nosniff'} /css/style.css
2024-03-19 15:57:58 - 200 - {'Content-Type': 'text/javascript', 'Content-Length': 2341, 'X-Content-Type-Options': 'nosniff'} /js/formMap.js
2024-03-19 15:58:21 - 200 - {'Content-Type': 'text/html', 'Content-Length': 1164, 'X-Content-Type-Options': 'nosniff'} /EventLog.html
2024-03-19 15:58:21 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5197, 'X-Content-Type-Options': 'nosniff'} /css/style.css
2024-03-19 15:58:24 - 200 - {'Content-Type': 'text/html', 'Content-Length': 2675, 'X-Content-Type-Options': 'nosniff'} /MyForm.html
2024-03-19 15:58:24 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5197, 'X-Content-Type-Options': 'nosniff'} /css/style.css
2024-03-19 15:58:24 - 200 - {'Content-Type': 'text/javascript', 'Content-Length': 2341, 'X-Content-Type-Options': 'nosniff'} /js/formMap.js
2024-03-19 15:59:59 - 200 - {'Content-Type': 'text/html', 'Content-Length': 1478, 'X-Content-Type-Options': 'nosniff'} /EventLog.html
2024-03-19 15:59:59 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5197, 'X-Content-Type-Options': 'nosniff'} /css/style.css
2024-03-19 16:00:02 - 200 - {'Content-Type': 'text/html', 'Content-Length': 1478, 'X-Content-Type-Options': 'nosniff'} /EventLog.html
2024-03-19 16:00:02 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5197, 'X-Content-Type-Options': 'nosniff'} /css/style.css
2024-03-19 16:00:04 - 200 - {'Content-Type': 'text/html', 'Content-Length': 1478, 'X-Content-Type-Options': 'nosniff'} /EventLog.html
2024-03-19 16:00:04 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5197, 'X-Content-Type-Options': 'nosniff'} /css/style.css
2024-03-19 16:00:10 - 200 - {'Content-Type': 'text/html', 'Content-Length': 1164, 'X-Content-Type-Options': 'nosniff'} /EventLog.html
2024-03-19 16:00:10 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5197, 'X-Content-Type-Options': 'nosniff'} /css/style.css
2024-03-19 16:03:18 - 403 - {'Content-Type': 'text/html', 'Content-Length': 143, 'X-Content-Type-Options': 'nosniff'} /private.html
2024-03-19 16:05:10 - 200 - {'Content-Type': 'text/html', 'Content-Length': 2195, 'X-Content-Type-Options': 'nosniff'} /MyServer.html
2024-03-19 16:05:10 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5197, 'X-Content-Type-Options': 'nosniff'} /css/style.css
2024-03-19 16:05:12 - 200 - {'Content-Type': 'text/html', 'Content-Length': 997, 'X-Content-Type-Options': 'nosniff'} /files
2024-03-19 16:05:12 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5197, 'X-Content-Type-Options': 'nosniff'} /css/style.css
2024-03-19 16:05:15 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5197, 'X-Content-Type-Options': 'nosniff'} /css/style.css
2024-03-19 16:09:47 - 200 - {'Content-Type': 'text/html', 'Content-Length': 2195, 'X-Content-Type-Options': 'nosniff'} /MyServer.html
2024-03-19 16:09:47 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5197, 'X-Content-Type-Options': 'nosniff'} /css/style.css
2024-03-19 16:09:50 - 200 - {'Content-Type': 'text/html', 'Content-Length': 1340, 'X-Content-Type-Options': 'nosniff'} /files
2024-03-19 16:09:50 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5197, 'X-Content-Type-Options': 'nosniff'} /css/style.css
2024-03-19 16:10:01 - 200 - {'Content-Type': 'image/png', 'Content-Length': 110981, 'X-Content-Type-Options': 'nosniff'} /files//Users/kaichengliu/Desktop/exchange_program/springsemester/csci4131/assignment4/student_files/files/Goldy.png
2024-03-19 16:10:03 - 200 - {'Content-Type': 'audio/mpeg', 'Content-Length': 735638, 'X-Content-Type-Options': 'nosniff'} /files//Users/kaichengliu/Desktop/exchange_program/springsemester/csci4131/assignment4/student_files/files/OuttaSpace.mp3
2024-03-19 16:10:03 - 200 - {'Content-Type': 'audio/mpeg', 'Content-Length': 735638, 'X-Content-Type-Options': 'nosniff'} /files//Users/kaichengliu/Desktop/exchange_program/springsemester/csci4131/assignment4/student_files/files/OuttaSpace.mp3
2024-03-19 16:12:20 - 200 - {'Content-Type': 'text/html', 'Content-Length': 1374, 'X-Content-Type-Options': 'nosniff'} /files
2024-03-19 16:12:20 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5197, 'X-Content-Type-Options': 'nosniff'} /css/style.css
2024-03-19 16:14:07 - 200 - {'Content-Type': 'text/html', 'Content-Length': 9763, 'X-Content-Type-Options': 'nosniff'} /MySchedule.html
2024-03-19 16:14:07 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5197, 'X-Content-Type-Options': 'nosniff'} /css/style.css
2024-03-19 16:14:07 - 200 - {'Content-Type': 'image/jpeg', 'Content-Length': 56540, 'X-Content-Type-Options': 'nosniff'} /img/rec.jpg
2024-03-19 16:14:07 - 200 - {'Content-Type': 'image/jpeg', 'Content-Length': 90623, 'X-Content-Type-Options': 'nosniff'} /img/anderson.jpg
2024-03-19 16:14:07 - 200 - {'Content-Type': 'image/jpeg', 'Content-Length': 245213, 'X-Content-Type-Options': 'nosniff'} /img/folwel.jpg
2024-03-19 16:14:07 - 200 - {'Content-Type': 'text/javascript', 'Content-Length': 1549, 'X-Content-Type-Options': 'nosniff'} /js/thumbnail.js
2024-03-19 16:14:07 - 200 - {'Content-Type': 'image/jpeg', 'Content-Length': 37561, 'X-Content-Type-Options': 'nosniff'} /img/zoom.jpg
2024-03-19 16:14:07 - 200 - {'Content-Type': 'image/png', 'Content-Length': 82836, 'X-Content-Type-Options': 'nosniff'} /img/gophers-mascot.png
2024-03-19 16:14:07 - 200 - {'Content-Type': 'image/png', 'Content-Length': 10892, 'X-Content-Type-Options': 'nosniff'} /img/search.png
2024-03-19 16:14:07 - 200 - {'Content-Type': 'image/png', 'Content-Length': 25240, 'X-Content-Type-Options': 'nosniff'} /img/direction.png
2024-03-19 16:14:08 - 200 - {'Content-Type': 'text/javascript', 'Content-Length': 7351, 'X-Content-Type-Options': 'nosniff'} /js/map.js
2024-03-19 16:14:09 - 200 - {'Content-Type': 'image/png', 'Content-Length': 110981, 'X-Content-Type-Options': 'nosniff'} /img/Goldy.png
2024-03-19 16:14:11 - 200 - {'Content-Type': 'text/html', 'Content-Length': 2675, 'X-Content-Type-Options': 'nosniff'} /MyForm.html
2024-03-19 16:14:12 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5197, 'X-Content-Type-Options': 'nosniff'} /css/style.css
2024-03-19 16:14:12 - 200 - {'Content-Type': 'text/javascript', 'Content-Length': 2341, 'X-Content-Type-Options': 'nosniff'} /js/formMap.js
2024-03-19 16:14:14 - 200 - {'Content-Type': 'text/html', 'Content-Length': 2195, 'X-Content-Type-Options': 'nosniff'} /MyServer.html
2024-03-19 16:14:14 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5197, 'X-Content-Type-Options': 'nosniff'} /css/style.css
2024-03-19 16:14:15 - 200 - {'Content-Type': 'text/html', 'Content-Length': 1374, 'X-Content-Type-Options': 'nosniff'} /files
2024-03-19 16:14:15 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5197, 'X-Content-Type-Options': 'nosniff'} /css/style.css
2024-03-19 16:15:31 - 200 - {'Content-Type': 'text/html', 'Content-Length': 1359, 'X-Content-Type-Options': 'nosniff'} /files
2024-03-19 16:15:31 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5364, 'X-Content-Type-Options': 'nosniff'} /css/style.css
2024-03-19 16:15:55 - 404 - {'Content-Type': 'text/html', 'Content-Length': 213, 'X-Content-Type-Options': 'nosniff'} /
2024-03-19 16:16:18 - 200 - {'Content-Type': 'text/html', 'Content-Length': 9763, 'X-Content-Type-Options': 'nosniff'} /MySchedule.html
2024-03-19 16:16:18 - 200 - {'Content-Type': 'text/css', 'Content-Length': 5364, 'X-Content-Type-Options': 'nosniff'} /css/style.css
2024-03-19 16:16:18 - 200 - {'Content-Type': 'image/jpeg', 'Content-Length': 56540, 'X-Content-Type-Options': 'nosniff'} /img/rec.jpg
